,0,1
0,picture,comments
1,ALT,altText
2,people,altText
3,closeup,altText
4,girls,comments
5,life,altText
6,says,altText
7,text,comments
8,It,comments
9,caz,comments
10,1,altText
11,now,comments
12,like,comments
13,this,comments
14,goes,comments
15,Glad,comments
16,pic,comments
17,2,altText
18,man,comments
19,U0001f60d,comments
20,mom,comments
21,person,altText
22,from,comments
23,Sure,comments
24,3,altText
25,and,comments
26,thanks,comments
27,outdoor,altText
28,car,comments
29,beautiful,comments
30,LOVE,comments
31,remember,comments
32,Nancy,comments
33,Nice,comments
34,NO,altText
35,table,altText
36,Gorgeous,comments
37,look,comments
38,about,comments
39,it,comments
40,smiling,altText
41,thats,comments
42,girly,comments
43,That,comments
44,great,comments
45,bro,comments
46,guys,comments
47,love,comments
48,tell,comments
49,TEXT,altText
50,hair,comments
51,What,comments
52,Seen,comments
53,Pretty,comments
54,Happy,comments
55,lmfao,comments
56,too,comments
57,nice,comments
58,swinging,comments
59,cute,comments
60,shit,comments
61,today,comments
62,U0001f609,comments
63,and,altText
64,6,altText
65,gorgeous,comments
66,girl,comments
67,4,altText
68,O_o,comments
69,that,altText
70,Victor,comments
71,looking,comments
72,Hat,comments
73,fun,comments
74,playing,altText
75,baseball,altText
76,You,comments
77,U0001f618,comments
78,app,comments
79,play,comments
80,s,comments
81,Smith,comments
82,Sister,comments
83,So,comments
84,m,comments
85,nature,altText
86,brings,comments
87,Raymore,comments
88,on,comments
89,well,comments
90,so,comments
91,my,comments
92,Great,comments
93,Ain,comments
94,indoor,altText
95,4,comments
96,dress,comments
97,tub,comments
98,Great,altText
99,pretty,comments
100,love,altText
101,beard,altText
102,Plze,comments
103,got,comments
104,car,altText
105,handsome,comments
106,baby,altText
107,Girl,comments
108,miss,comments
109,blue,comments
110,seen,altText
111,Like,comments
112,the,comments
113,Love,comments
114,family,comments
115,Well,comments
116,There,comments
117,you,comments
118,She,comments
119,hat,altText
120,that,comments
121,n,comments
122,Yeah,comments
123,sitting,altText
124,life,comments
125,Sexy,comments
126,Look,comments
127,truth,comments
128,Looks,altText
129,DARN,comments
130,Is,comments
131,playing,comments
132,69,comments
133,I,comments
134,U0001f493,comments
135,Nice,altText
